rank,v3,delta,address,score,eurm2,woz,prem,relvalue,cost_score,label,beds
57,55,-2,"Dr. Willem Dreesweg 462, Amstelveen (Middenhoven)",5.95,6452,334000,20,4.6,8,C,1
58,60,2,"Van Nijenrodeweg 693, Amsterdam (Buitenveldert)",5.84,9697,311000,3,5.7,9,C,1
59,59,0,"Lindenlaan 559, Amstelveen",5.83,6056,369000,17,5.0,8,C,2
60,63,3,"Mr. F.A. van Hallweg 56, Amstelveen (Elsrijk)",5.73,5085,285000,5,6.4,9,D,1
61,61,0,"Nijenburg 8, Amsterdam (Buitenveldert-West)",5.7,7727,418000,2,5.9,9,C,1
62,64,2,"Van Boshuizenstraat 47, Amsterdam (Buitenveldert)",5.67,6781,494000,0,6.1,8,G,2
63,58,-5,"Schierstins 47, Amsterdam (Buitenveldert)",5.55,7721,431000,22,3.1,8,F,2
64,62,-2,"Ennemaborg 69, Amsterdam (Buitenveldert-West)",5.4,7486,380000,42,1,9,D,2
65,66,1,"Max Havelaarlaan 543, Amstelveen (Bankras-Kostverloren)",5.25,6429,300000,5,6.5,8,D,1
66,65,-1,"Van Heenvlietlaan 284-K, Amsterdam (Buitenveldert)",5.18,7857,225000,22,3.0,7,A,0
67,68,1,"Van Heenvlietlaan 250-D, Amsterdam (Buitenveldert-Oost)",4.81,10435,214000,12,4.4,9,C,0
68,69,1,"Populierenlaan 117, Amstelveen (Populierenbuurt)",4.8,7531,240000,25,4.0,7,G,1
69,70,1,"Amstelveenseweg 641-B, Amsterdam (Buitenveldert-West)",4.75,8163,350000,14,4.1,9,E,1
70,67,-3,"Van Boshuizenstraat 501, Amsterdam (Buitenveldert)",4.71,7500,416000,19,3.5,8,E,1
71,71,0,"Van Nijenrodeweg 824, Amsterdam (Buitenveldert-West)",4.33,10152,230000,46,1,9,D,1
